Name,Length,Length_for_multiplier
A1,3,5
A2,55,55
A3,22,22
A4,33,33
A5,50,50
A6,31,31
A7,0,5
A8,27,27
A9,23,23
A10,16,16
A11,16,16
AB1,42,42
A12-1,43,43
A13-2,43,43
A14,0,5
A15,0,5
A16,0,5
A17,0,5
A18,33,33
A19,29,29
A20,33,33
A21,67,67
A22,60,60
AB2,52,52
A23,27,27
A24,12,12
A25-1,34,34
A25-2,34,34
A26,36,36
A27,18,18
A28,16,16
A29,10,10
A30,73,73
A31-1,18,18
A31-2,18,18
A32-1,27.5,27.5
A32-2,27.5,27.5
A33-1,15,15
A33-2,15,15
A34,47,47
AB3,51,51
B1,3,5
B2,55,55
B3,22,22
B4,33,33
B5,50,50
B6,31,31
B7,0,5
B8,27,27
B9,23,23
B10,16,16
B11,16,16
B12-1,43,43
B13-2,43,43
B14,0,5
B15,0,5
B16,0,5
B17,0,5
B18,33,33
B19,29,29
B20,33,33
B21,67,67
B22,60,60
B23,27,27
B24,12,12
B25-1,34,34
B25-2,34,34
B26,36,36
B27,18,18
B28,16,16
B29,10,10
B30,73,73
B31-1,18,18
B31-2,18,18
B32-1,27.5,27.5
B32-2,27.5,27.5
B33-1,15,15
B33-2,15,15
B34,47,47
C1,3,5
C2,55,55
C3,22,22
C4,33,33
C5,50,50
C6,31,31
C7,0,5
C8,27,27
C9,23,23
C10,16,16
C11,16,16
C12-1,43,43
C13-2,43,43
C14,0,5
C15,0,5
C16,0,5
C17,0,5
C18,33,33
C19,29,29
C20,33,33
C21,67,67
C22,60,60
C23,27,27
C24,12,12
C25-1,34,34
C25-2,34,34
C26,36,36
C27,18,18
C28,16,16
C29,10,10
C30,73,73
C31-1,18,18
C31-2,18,18
C32-1,27.5,27.5
C32-2,27.5,27.5
C33-1,15,15
C33-2,15,15
C34,47,47
CA-1,67,67
CB-1,72,72
C35,0,5
