Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,0.0,0.0,0.0
coal_super_1,1,6209.218151168336,1070.3124156575122,0.0006622504299400002
coal_super_2,1,0.0,0.0,0.0
coal_super_3,1,0.0,0.0,0.0
coal_super_4,1,30283.78184883164,3073.6875843424855,0.00112472482241844
coal_super_5,1,0.0,0.0,0.0
20A_retrofit_1,1,3.162197419988622e7,4929.687584342488,0.7322602790986349
20A_retrofit_2,1,2.1192648388748057e7,2696.312415657514,0.8972447276968095
20A_retrofit_3,1,2.0857262642356496e7,6000.0,0.39682767584392115
20A_retrofit_4,1,0.0,0.0,0.0
20A_retrofit_5,1,4.3206145769009225e7,6000.0,0.8220347368532958
solar_pv,1,0.0,0.0,0.0
onshore_wind,1,0.0,0.0,0.0
battery,1,0.0,0.0,0.0
