Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
NGCC_bf,0.04,30,30,0,0,0
NGCC_gf,0.04,30,30,0,0,0
NGCT_bf,0.04,30,30,0,0,0
NGCT_gf,0.04,30,30,0,0,0
NGST,0.04,40,40,0,0,0
Coal,0.04,40,40,0,0,0
Nuclear,0.04,40,40,0,0,0
Biomass,0.04,30,30,0,0,0
SolarPV,0.04,20,20,0,0,0
Wind,0.04,20,20,0,0,0
Hydro,0.04,40,40,0,0,0
PHS,0.04,40,40,0,0,0
Li-ion,0.04,20,20,0,0,0
Retro_NGCC_CCS,0.04,20,20,0,0,0
Retro_NGCC_H2,0.04,20,20,0,0,0
Retro_Coal_TES,0.04,20,20,0,0,0
Retro_Coal_SMR,0.04,20,20,0,0,0
