region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,Model,LDS,Existing_Cap_MW,New_Build,Can_Retire,Cap_Size,Min_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Hydro_Energy_to_Power_Ratio,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost
NENGREST,1,NENGREST_biomass_1,biomass,1,1,1,1,0,106.062,0,0,3.21,0,0.0,0,122976,5.08,0,0.0,14.58,None,0.45,1.0,1.0,1.0,0,0,0.083333333,0.166666667,0,0
NENGREST,1,NENGREST_natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle,1,4,1,1,0,7077.3,0,1,471.82,0,0.0,0,10287,3.55,91,2.0,7.43,NENGREST_NG,0.468,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENGREST,2,NENGREST_natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle,1,5,1,1,0,2684.803,0,1,244.07,0,0.0,0,16291,4.5,91,2.0,8.29,NENGREST_NG,0.507,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENGREST,1,NENGREST_natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine,1,6,1,1,0,302.701,0,1,43.24,0,0.0,0,12080,4.6,118,3.5,10.13,NENGREST_NG,0.456,1.0,3.78,3.78,1,1,0.315,0.63,0,0
NENGREST,2,NENGREST_natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine,1,7,1,1,0,62.704,0,1,7.84,0,0.0,0,13991,4.6,118,3.5,4.74,NENGREST_NG,0.488,1.0,3.78,3.78,1,1,0.315,0.63,0,0
NENGREST,1,NENGREST_natural_gas_steam_turbine_1,natural_gas_steam_turbine,1,8,1,1,0,0.6,0,1,0.6,0,0.0,0,50678,1.04,86,13.7,0.0,NENGREST_NG,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
NENGREST,1,NENGREST_nuclear_1,nuclear,1,9,1,1,0,1242.0,0,1,1242.0,0,0.0,0,271818,2.32,245,0.0,10.46,new_england_uranium,0.5,1.0,0.25,0.25,24,24,0.020833333,0.041666667,0,0
NENG_CT,1,NENG_CT_biomass_1,biomass,1,14,2,1,0,27.248,0,0,3.41,0,0.0,0,122976,5.37,0,0.0,15.33,None,0.348,1.0,1.0,1.0,0,0,0.083333333,0.166666667,0,0
NENG_CT,1,NENG_CT_natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle,1,17,2,1,0,3488.704,0,1,436.09,0,0.0,0,9698,3.57,91,2.0,7.12,NENG_CT_NG,0.338,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENG_CT,2,NENG_CT_natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle,1,18,2,1,0,35.2,0,1,17.6,0,0.0,0,16291,4.5,91,2.0,10.77,NENG_CT_NG,0.466,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENG_CT,1,NENG_CT_natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine,1,19,2,1,0,434.0,0,1,54.25,0,0.0,0,10609,4.6,118,3.5,11.06,NENG_CT_NG,0.124,1.0,3.78,3.78,1,1,0.315,0.63,0,0
NENG_CT,2,NENG_CT_natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine,1,20,2,1,0,124.9,0,1,24.98,0,0.0,0,13991,4.6,118,3.5,8.35,NENG_CT_NG,0.476,1.0,3.78,3.78,1,1,0.315,0.63,0,0
NENG_CT,1,NENG_CT_nuclear_1,nuclear,1,21,2,1,0,2162.9,0,1,1081.45,0,0.0,0,190920,2.32,245,0.0,10.46,new_england_uranium,0.5,1.0,0.25,0.25,24,24,0.020833333,0.041666667,0,0
NENG_ME,1,NENG_ME_biomass_1,biomass,1,25,3,1,0,24.95,0,0,2.5,0,0.0,0,122976,4.85,0,0.0,13.84,None,0.404,1.0,1.0,1.0,0,0,0.083333333,0.166666667,0,0
NENG_ME,1,NENG_ME_natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle,1,27,3,1,0,274.5,0,1,137.25,0,0.0,0,16291,4.5,91,2.0,12.62,NENG_ME_NG,0.474,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENG_ME,2,NENG_ME_natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle,1,28,3,1,0,1114.1,0,1,557.05,0,0.0,0,9668,3.57,91,2.0,7.65,NENG_ME_NG,0.386,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENG_ME,1,NENG_ME_natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine,1,29,3,1,0,163.5,0,1,54.5,0,0.0,0,11540,4.6,118,3.5,4.75,NENG_ME_NG,0.697,1.0,3.78,3.78,1,1,0.315,0.63,0,0
NENGREST,0,NENGREST_naturalgas_ccccsavgcf_mid_0,naturalgas_ccccsavgcf_mid,1,33,1,1,0,0.0,0,1,500.0,0,-1.0,229388,27483,5.82,103,0.0,7.52,NENGREST_NG_ccs90,0.6,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENGREST,0,NENGREST_naturalgas_ccavgcf_mid_0,naturalgas_ccavgcf_mid,1,34,1,1,0,0.0,1,1,500.0,0,-1.0,110025,12441,1.61,103,2.0,6.27,NENGREST_NG,0.2,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENGREST,0,NENGREST_naturalgas_ctavgcf_mid_0,naturalgas_ctavgcf_mid,1,35,1,1,0,0.0,1,1,100.0,0,-1.0,81998,6960,4.49,134,3.5,9.9,NENGREST_NG,0.3,1.0,3.78,3.78,1,1,0.315,0.63,0,0
NENGREST,0,NENGREST_naturalgas_ccs100_mid_0,naturalgas_ccs100_mid,1,37,1,1,0,0.0,0,1,500.0,0,-1.0,239841,37153,6.26,103,0.0,7.89,NENGREST_NG_ccs100,0.6,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENG_CT,0,NENG_CT_naturalgas_ccccsavgcf_mid_0,naturalgas_ccccsavgcf_mid,1,41,2,1,0,0.0,0,1,500.0,0,-1.0,229388,27483,5.82,103,0.0,7.52,NENG_CT_NG_ccs90,0.6,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
NENG_CT,0,NENG_CT_naturalgas_ccavgcf_mid_0,naturalgas_ccavgcf_mid,1,42,2,1,0,0.0,1,1,500.0,0,-1.0,110025,12441,1.61,103,2.0,6.27,NENG_CT_NG,0.2,1.0,0.64,0.64,6,6,0.053333333,0.106666667,0,0
