Resource,Zone,Num_VRE_Bins,Existing_Cap_MWh,Existing_Cap_MW,New_Build,Can_Retire,Cap_Size,Min_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Self_Disch,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,region,technology,cluster
EIC_offshore_wind_turbine_1,1,1,0,29.3,0,1,29.3,0,0,0,111496,0,10.34,None,0,1,1,1,1,EIC,Offshore Wind Turbine,1
EIC_onshore_wind_turbine_1,1,1,0,47407.4,0,1,66.77,0,0,0,43000,0,10.34,None,0,1,1,1,1,EIC,Onshore Wind Turbine,1
EIC_solar_photovoltaic_1,1,1,0,8533.9,0,1,5.95,0,0,0,22623,0,10.34,None,0,1,1,1,1,EIC,Solar Photovoltaic,1
TRE_onshore_wind_turbine_1,2,1,0,21683.1,0,1,163.03,0,0,0,43000,0,10.34,None,0,1,1,1,1,TRE,Onshore Wind Turbine,1
TRE_solar_photovoltaic_1,2,1,0,1821.5,0,1,65.05,0,0,0,22623,0,10.34,None,0,1,1,1,1,TRE,Solar Photovoltaic,1
WECC_geothermal_1,3,1,0,1752.4,0,0,12,0,0,0,209101,0,10.34,None,0,1,1,1,1,WECC,Geothermal,1
WECC_onshore_wind_turbine_1,3,1,0,20644.2,0,1,68.81,0,0,0,43000,0,10.34,None,0,1,1,1,1,WECC,Onshore Wind Turbine,1
WECC_solar_photovoltaic_1,3,1,0,14659.8,0,1,14.87,0,0,0,22623,0,10.34,None,0,1,1,1,1,WECC,Solar Photovoltaic,1
EIC_offshorewind_class3_moderate_fixed_1_0,1,1,0,0,1,1,1,0,65762.8,147250,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,0
EIC_offshorewind_class3_moderate_fixed_1_1,1,1,0,0,1,1,1,0,14399.2,157328,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,1
EIC_offshorewind_class3_moderate_fixed_1_2,1,1,0,0,1,1,1,0,34280.8,153961,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,2
EIC_offshorewind_class3_moderate_fixed_1_3,1,1,0,0,1,1,1,0,101840.5,168852,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,3
EIC_offshorewind_class3_moderate_fixed_1_4,1,1,0,0,1,1,1,0,118605,164784,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,4
EIC_offshorewind_class3_moderate_fixed_1_5,1,1,0,0,1,1,1,0,18875.6,146792,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,5
EIC_offshorewind_class3_moderate_fixed_1_6,1,1,0,0,1,1,1,0,79943.7,144977,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,6
EIC_offshorewind_class3_moderate_fixed_1_7,1,1,0,0,1,1,1,0,23454.7,347411,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,7
EIC_offshorewind_class3_moderate_fixed_1_8,1,1,0,0,1,1,1,0,59461.7,393568,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,8
EIC_offshorewind_class3_moderate_fixed_1_9,1,1,0,0,1,1,1,0,73503.9,155384,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_1,9
EIC_offshorewind_class3_moderate_fixed_0_0,1,1,0,0,1,1,1,0,65762.8,147250,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,0
EIC_offshorewind_class3_moderate_fixed_0_1,1,1,0,0,1,1,1,0,14399.2,157328,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,1
EIC_offshorewind_class3_moderate_fixed_0_4,1,1,0,0,1,1,1,0,34280.8,153961,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,4
EIC_offshorewind_class3_moderate_fixed_0_5,1,1,0,0,1,1,1,0,101840.5,168852,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,5
EIC_offshorewind_class3_moderate_fixed_0_10,1,1,0,0,1,1,1,0,118605,164784,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,10
EIC_offshorewind_class3_moderate_fixed_0_11,1,1,0,0,1,1,1,0,18875.6,146792,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,11
EIC_offshorewind_class3_moderate_fixed_0_18,1,1,0,0,1,1,1,0,79943.7,144977,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,18
EIC_offshorewind_class3_moderate_fixed_0_19,1,1,0,0,1,1,1,0,23454.7,347411,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,19
EIC_offshorewind_class3_moderate_fixed_0_28,1,1,0,0,1,1,1,0,59461.7,393568,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,28
EIC_offshorewind_class3_moderate_fixed_0_29,1,1,0,0,1,1,1,0,73503.9,155384,78449,0,0,None,0,0,0,0,0,EIC,OffShoreWind_Class3_Moderate_fixed_0,29
EIC_offshorewind_class12_moderate_floating_1_0,1,1,0,0,1,1,1,0,65762.8,204577,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,0
EIC_offshorewind_class12_moderate_floating_1_1,1,1,0,0,1,1,1,0,14399.2,214655,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,1
EIC_offshorewind_class12_moderate_floating_1_6,1,1,0,0,1,1,1,0,34280.8,211288,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,6
EIC_offshorewind_class12_moderate_floating_1_7,1,1,0,0,1,1,1,0,101840.5,226179,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,7
EIC_offshorewind_class12_moderate_floating_1_18,1,1,0,0,1,1,1,0,118605,222111,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,18
EIC_offshorewind_class12_moderate_floating_1_19,1,1,0,0,1,1,1,0,18875.6,204119,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,19
EIC_offshorewind_class12_moderate_floating_1_38,1,1,0,0,1,1,1,0,79943.7,202304,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,38
EIC_offshorewind_class12_moderate_floating_1_39,1,1,0,0,1,1,1,0,23454.7,404738,68827,0,0,None,0,1,1,1,1,EIC,OffShoreWind_Class12_Moderate_floating_1,39
