Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,1,1.0,1.0,2000,11,168,673.8461538461539,1,12458.0
,2,0.9,0.04,1800,,,336.92307692307696,2,12050.0
,3,0.55,0.024,1100,,,1347.6923076923078,3,11852.0
,4,0.2,0.003,400,,,1516.1538461538462,4,11767.0
,,,,,,,168.46153846153848,5,11845.0
,,,,,,,1853.076923076923,6,12167.0
,,,,,,,168.46153846153848,7,12740.0
,,,,,,,842.3076923076924,8,13365.0
,,,,,,,673.8461538461539,9,14193.0
,,,,,,,1010.7692307692308,10,14704.0
,,,,,,,168.46153846153848,11,14906.0
,,,,,,,,12,14902.0
,,,,,,,,13,14813.0
,,,,,,,,14,14701.0
,,,,,,,,15,14657.0
,,,,,,,,16,14683.0
,,,,,,,,17,15368.0
,,,,,,,,18,16390.0
,,,,,,,,19,16396.0
,,,,,,,,20,16097.0
,,,,,,,,21,15507.0
,,,,,,,,22,14535.0
,,,,,,,,23,13448.0
,,,,,,,,24,12346.0
,,,,,,,,25,11555.0
,,,,,,,,26,11150.0
,,,,,,,,27,10988.0
,,,,,,,,28,10997.0
,,,,,,,,29,11337.0
,,,,,,,,30,12375.0
,,,,,,,,31,14267.0
,,,,,,,,32,15329.0
,,,,,,,,33,15560.0
,,,,,,,,34,15688.0
,,,,,,,,35,15811.0
,,,,,,,,36,15787.0
,,,,,,,,37,15635.0
,,,,,,,,38,15529.0
,,,,,,,,39,15361.0
,,,,,,,,40,15368.0
,,,,,,,,41,16068.0
,,,,,,,,42,17090.0
,,,,,,,,43,16948.0
,,,,,,,,44,16411.0
,,,,,,,,45,15636.0
,,,,,,,,46,14499.0
,,,,,,,,47,13072.0
,,,,,,,,48,11781.0
,,,,,,,,49,10958.0
,,,,,,,,50,10438.0
,,,,,,,,51,10183.0
,,,,,,,,52,10118.0
,,,,,,,,53,10407.0
,,,,,,,,54,11367.0
,,,,,,,,55,13276.0
,,,,,,,,56,14330.0
,,,,,,,,57,14437.0
,,,,,,,,58,14377.0
,,,,,,,,59,14394.0
,,,,,,,,60,14334.0
,,,,,,,,61,14169.0
,,,,,,,,62,14062.0
,,,,,,,,63,13910.0
,,,,,,,,64,13922.0
,,,,,,,,65,14619.0
,,,,,,,,66,15901.0
,,,,,,,,67,15914.0
,,,,,,,,68,15535.0
,,,,,,,,69,14920.0
,,,,,,,,70,13900.0
,,,,,,,,71,12627.0
,,,,,,,,72,11435.0
,,,,,,,,73,10669.0
,,,,,,,,74,10283.0
,,,,,,,,75,10111.0
,,,,,,,,76,10120.0
,,,,,,,,77,10445.0
,,,,,,,,78,11498.0
,,,,,,,,79,13494.0
,,,,,,,,80,14608.0
,,,,,,,,81,14699.0
,,,,,,,,82,14783.0
,,,,,,,,83,14849.0
,,,,,,,,84,14811.0
,,,,,,,,85,14663.0
,,,,,,,,86,14583.0
,,,,,,,,87,14416.0
,,,,,,,,88,14393.0
,,,,,,,,89,15041.0
,,,,,,,,90,16457.0
,,,,,,,,91,16552.0
,,,,,,,,92,16175.0
,,,,,,,,93,15582.0
,,,,,,,,94,14519.0
,,,,,,,,95,13142.0
,,,,,,,,96,11922.0
,,,,,,,,97,11127.0
,,,,,,,,98,10720.0
,,,,,,,,99,10528.0
,,,,,,,,100,10520.0
,,,,,,,,101,10852.0
,,,,,,,,102,11863.0
,,,,,,,,103,13845.0
,,,,,,,,104,14905.0
,,,,,,,,105,14976.0
,,,,,,,,106,14931.0
,,,,,,,,107,14893.0
,,,,,,,,108,14795.0
,,,,,,,,109,14677.0
,,,,,,,,110,14665.0
,,,,,,,,111,14624.0
,,,,,,,,112,14737.0
,,,,,,,,113,15454.0
,,,,,,,,114,16580.0
,,,,,,,,115,16536.0
,,,,,,,,116,16155.0
,,,,,,,,117,15515.0
,,,,,,,,118,14490.0
,,,,,,,,119,13144.0
,,,,,,,,120,11939.0
,,,,,,,,121,11122.0
,,,,,,,,122,10655.0
,,,,,,,,123,10441.0
,,,,,,,,124,10365.0
,,,,,,,,125,10639.0
,,,,,,,,126,11577.0
,,,,,,,,127,13349.0
,,,,,,,,128,14550.0
,,,,,,,,129,14922.0
,,,,,,,,130,15165.0
,,,,,,,,131,15328.0
,,,,,,,,132,15380.0
,,,,,,,,133,15275.0
,,,,,,,,134,15154.0
,,,,,,,,135,14953.0
,,,,,,,,136,14885.0
,,,,,,,,137,15340.0
,,,,,,,,138,16003.0
,,,,,,,,139,15767.0
,,,,,,,,140,15236.0
,,,,,,,,141,14663.0
,,,,,,,,142,13889.0
,,,,,,,,143,12855.0
,,,,,,,,144,11809.0
,,,,,,,,145,10967.0
,,,,,,,,146,10460.0
,,,,,,,,147,10200.0
,,,,,,,,148,10104.0
,,,,,,,,149,10196.0
,,,,,,,,150,10623.0
,,,,,,,,151,11360.0
,,,,,,,,152,12147.0
,,,,,,,,153,12981.0
,,,,,,,,154,13515.0
,,,,,,,,155,13751.0
,,,,,,,,156,13619.0
,,,,,,,,157,13362.0
,,,,,,,,158,13013.0
,,,,,,,,159,12800.0
,,,,,,,,160,12804.0
,,,,,,,,161,13416.0
,,,,,,,,162,14704.0
,,,,,,,,163,14811.0
,,,,,,,,164,14378.0
,,,,,,,,165,13939.0
,,,,,,,,166,13268.0
,,,,,,,,167,12413.0
,,,,,,,,168,11501.0
,,,,,,,,169,10649.0
,,,,,,,,170,10252.0
,,,,,,,,171,10037.0
,,,,,,,,172,9970.0
,,,,,,,,173,10053.0
,,,,,,,,174,10370.0
,,,,,,,,175,10819.0
,,,,,,,,176,11392.0
,,,,,,,,177,12141.0
,,,,,,,,178,12655.0
,,,,,,,,179,12846.0
,,,,,,,,180,12873.0
,,,,,,,,181,12731.0
,,,,,,,,182,12486.0
,,,,,,,,183,12264.0
,,,,,,,,184,12244.0
,,,,,,,,185,12680.0
,,,,,,,,186,13898.0
,,,,,,,,187,14638.0
,,,,,,,,188,14327.0
,,,,,,,,189,13872.0
,,,,,,,,190,13154.0
,,,,,,,,191,12257.0
,,,,,,,,192,11381.0
,,,,,,,,193,10794.0
,,,,,,,,194,10450.0
,,,,,,,,195,10252.0
,,,,,,,,196,10285.0
,,,,,,,,197,10562.0
,,,,,,,,198,11320.0
,,,,,,,,199,12433.0
,,,,,,,,200,13291.0
,,,,,,,,201,13975.0
,,,,,,,,202,14403.0
,,,,,,,,203,14593.0
,,,,,,,,204,14543.0
,,,,,,,,205,14308.0
,,,,,,,,206,14052.0
,,,,,,,,207,13847.0
,,,,,,,,208,13787.0
,,,,,,,,209,14205.0
,,,,,,,,210,15445.0
,,,,,,,,211,16093.0
,,,,,,,,212,15698.0
,,,,,,,,213,15093.0
,,,,,,,,214,14165.0
,,,,,,,,215,12979.0
,,,,,,,,216,11904.0
,,,,,,,,217,11216.0
,,,,,,,,218,10863.0
,,,,,,,,219,10728.0
,,,,,,,,220,10785.0
,,,,,,,,221,11135.0
,,,,,,,,222,12145.0
,,,,,,,,223,13723.0
,,,,,,,,224,14633.0
,,,,,,,,225,14917.0
,,,,,,,,226,14902.0
,,,,,,,,227,14866.0
,,,,,,,,228,14718.0
,,,,,,,,229,14490.0
,,,,,,,,230,14376.0
,,,,,,,,231,14274.0
,,,,,,,,232,14279.0
,,,,,,,,233,14699.0
,,,,,,,,234,15815.0
,,,,,,,,235,16235.0
,,,,,,,,236,15779.0
,,,,,,,,237,15073.0
,,,,,,,,238,14056.0
,,,,,,,,239,12751.0
,,,,,,,,240,11593.0
,,,,,,,,241,10805.0
,,,,,,,,242,10357.0
,,,,,,,,243,10162.0
,,,,,,,,244,10131.0
,,,,,,,,245,10426.0
,,,,,,,,246,11363.0
,,,,,,,,247,12864.0
,,,,,,,,248,13839.0
,,,,,,,,249,14149.0
,,,,,,,,250,14179.0
,,,,,,,,251,14225.0
,,,,,,,,252,14149.0
,,,,,,,,253,13945.0
,,,,,,,,254,13805.0
,,,,,,,,255,13593.0
,,,,,,,,256,13464.0
,,,,,,,,257,13731.0
,,,,,,,,258,14761.0
,,,,,,,,259,15384.0
,,,,,,,,260,15018.0
,,,,,,,,261,14435.0
,,,,,,,,262,13519.0
,,,,,,,,263,12282.0
,,,,,,,,264,11157.0
,,,,,,,,265,10384.0
,,,,,,,,266,9952.0
,,,,,,,,267,9723.0
,,,,,,,,268,9697.0
,,,,,,,,269,9954.0
,,,,,,,,270,10880.0
,,,,,,,,271,12433.0
,,,,,,,,272,13438.0
,,,,,,,,273,13878.0
,,,,,,,,274,14112.0
,,,,,,,,275,14192.0
,,,,,,,,276,14183.0
,,,,,,,,277,14044.0
,,,,,,,,278,13894.0
,,,,,,,,279,13724.0
,,,,,,,,280,13566.0
,,,,,,,,281,13751.0
,,,,,,,,282,14724.0
,,,,,,,,283,15408.0
,,,,,,,,284,15101.0
,,,,,,,,285,14528.0
,,,,,,,,286,13633.0
,,,,,,,,287,12430.0
,,,,,,,,288,11343.0
,,,,,,,,289,10602.0
,,,,,,,,290,10176.0
,,,,,,,,291,9980.0
,,,,,,,,292,9992.0
,,,,,,,,293,10281.0
,,,,,,,,294,11177.0
,,,,,,,,295,12671.0
,,,,,,,,296,13796.0
,,,,,,,,297,14485.0
