Time_Index,NENG_CT_NG,NENG_ME_NG,NENGREST_NG,NENGREST_NG_ccs90,west_north_central_coal,new_england_uranium,NENG_CT_NG_ccs90,NENG_ME_ccs90,NENGREST_ccs90,NENG_CT_NG_ccs100,NENGREST_NG_ccs100,NENG_ME_NG_ccs90,NENG_ME_NG_ccs100,NENG_ME_ccs100,NENGREST_ccs100,None
0,0.05306,0.05306,0.05306,0.05306,0.09552,0,0.00531,0.00531,0.00531,0,0,0.00531,0,0,0,0
1,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
2,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
3,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
4,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
5,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
6,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
7,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
8,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
9,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
10,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
11,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
12,3.14,3.14,3.69,3.69,1.67,0.69,3.14,3.14,3.69,1.71,1.71,3.69,1.71,1.71,2.26,0
