slot,cluster,Month
1,2,1
2,2,1
3,2,1
4,2,1
5,2,1
6,2,1
7,2,1
8,2,2
9,2,2
10,2,2
11,2,2
12,2,2
13,2,2
14,2,2
15,2,3
16,2,3
17,2,3
18,2,3
19,2,3
20,2,3
21,2,3
22,2,3
23,2,4
24,2,4
25,2,4
26,2,4
27,2,4
28,2,4
29,2,4
30,2,4
31,2,5
32,2,5
33,2,5
34,2,5
35,2,5
36,2,5
37,2,5
38,2,6
39,2,6
40,2,6
41,2,6
42,2,6
43,2,6
44,2,6
45,2,6
46,1,7
47,1,7
48,1,7
49,1,7
50,3,7
51,1,7
52,1,7
53,1,7
54,1,8
55,1,8
56,1,8
57,1,8
58,1,8
59,1,8
60,1,8
61,1,9
62,1,9
63,1,9
64,1,9
65,1,9
66,1,9
67,1,9
68,1,9
69,1,10
70,2,10
71,2,10
72,2,10
73,2,10
74,2,10
75,2,10
76,2,10
77,2,11
78,2,11
79,2,11
80,2,11
81,2,11
82,2,11
83,2,11
84,2,12
85,2,12
86,2,12
87,2,12
88,2,12
89,2,12
90,2,12
91,2,12
