Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,RETRO,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,retro_source,retro_efficiency
MA_natural_gas,1,1,0,0,0,0,0,0,0,1,14400,0,0,-1,-1,-1,0,0,0,65400,0,0,10287,0,0,3.55,0,7.43,MA_NG,250,91,2,6,6,0.64,0.64,0,0.468,0,1,1,0,0,0,0,1,0.25,0.5,0,0,2,0,0,0,1,natural_gas_fired_combined_cycle,0.93,0,0,MA,1,None,0
MA_natural_gas_CCS_retro,1,1,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,0,0,73710,0,0,34200,0,0,5.82,0,6.5,MA_NGCCS,250,91,2,6,6,0.64,0.64,0,0.468,0,1,1,0,0,0,0,1,0.25,0.5,0,0,2,0,0,0,1,natural_gas_fired_combined_cycle_CCS,0.93,0,0,MA,1,MA_natural_gas,0.89
MA_natural_gas_H2_retro,1,1,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,0,0,50000,0,0,10287,0,0,3.55,0,7.43,MA_H2,250,91,2,6,6,0.64,0.64,0,0.468,0,1,1,0,0,0,0,1,0.25,0.5,0,0,2,0,0,0,1,hydrogen_fired_combined_cycle,0.93,0,0,MA,1,MA_natural_gas,0.95
MA_wind,1,0,0,0,0,0,1,0,1,1,200,0,0,-1,-1,-1,0,0,0,97200,0,0,43205,0,0,0.1,0,9.12,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,onshore_wind_turbine,0.8,1,1,CT,1,None,0
MA_solar_pv,1,0,0,0,0,0,1,0,1,1,1100,0,0,-1,-1,-1,0,0,0,85300,0,0,18760,0,0,0,0,9.13,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,1,0,0,1,solar_photovoltaic,0.8,1,1,MA,1,None,0
CT_natural_gas,2,1,0,0,0,0,0,0,0,1,9300,0,0,-1,-1,-1,0,0,0,65400,0,0,9698,0,0,3.57,0,7.12,CT_NG,250,91,2,6,6,0.64,0.64,0,0.338,0,1,1,0,0,0,0,1,0.133332722,0.266665444,0,0,2,0,0,0,1,natural_gas_fired_combined_cycle,0.93,0,0,CT,1,None,0
CT_wind,2,0,0,0,0,0,1,0,1,1,100,0,0,-1,-1,-1,0,0,0,97200,0,0,43205,0,0,0.1,0,9.12,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,onshore_wind_turbine,0.8,1,1,CT,1,None,0
CT_solar_pv,2,0,0,0,0,0,1,0,1,1,100,0,0,-1,-1,-1,0,0,0,85300,0,0,18760,0,0,0,0,9.16,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,solar_photovoltaic,0.8,1,1,CT,1,None,0
ME_natural_gas,3,1,0,0,0,0,0,0,0,1,2000,0,0,-1,-1,-1,0,0,0,65400,0,0,16291,0,0,4.5,0,12.62,ME_NG,250,91,2,6,6,0.64,0.64,0,0.474,0,1,1,0,0,0,0,1,0.033333333,0.066666667,0,0,2,0,0,0,1,natural_gas_fired_combined_cycle,0.93,0,0,ME,1,None,0
ME_wind,3,0,0,0,0,0,1,0,1,1,1700,0,0,-1,-1,-1,0,0,0,97200,0,0,43205,0,0,0.1,0,9.12,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,1,onshore_wind_turbine,0.8,1,1,ME,1,None,0
ME_solar_pv,3,0,0,0,0,0,1,0,1,1,100,0,0,-1,-1,-1,0,0,0,85300,0,0,18760,0,0,0,0,9.16,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,solar_photovoltaic,0.8,1,1,CT,1,None,0
MA_battery,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,19584,22494,0,4895,5622,0,0.15,0.15,0,None,0,0,0,0,0,1,1,0,0,0,0.92,0.92,1,10,0,0,1,0,0,0,0,12,0,0,1,0,battery_mid,0.95,0,0,MA,0,None,0
CT_battery,2,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,19584,22494,0,4895,5622,0,0.15,0.15,0,None,0,0,0,0,0,1,1,0,0,0,0.92,0.92,1,10,0,0,1,0,0,0,0,12,0,0,1,0,battery_mid,0.95,0,0,CT,0,None,0
ME_battery,3,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,19584,22494,0,4895,5622,0,0.15,0.15,0,None,0,0,0,0,0,1,1,0,0,0,0.92,0.92,1,10,0,0,1,0,0,0,0,12,0,0,1,0,battery_mid,0.95,0,0,ME,0,None,0
