Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,Num_VRE_Bins,LDS,RETRO,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,retro_source,retro_efficiency
NGCC,1,1,0,0,0,0,0,0,0,0,1,3400,0,0,-1,-1,-1,0,0,0,40000,0,0,12000,0,0,3,0,7.3,ng,200,70,1,6,2,0.64,0.64,0,0.4,0,1,1,0,0,0,0,1,0.25,0.5,0,0,2,0,0,0,1,NGCC,0.93,0,0,MO,1,None,0
NGCT,1,1,0,0,0,0,0,0,0,0,1,8200,0,0,-1,-1,-1,0,0,0,30000,0,0,11000,0,0,4,0,14.3,ng,100,90,1,6,1,0.64,0.64,0,0.2,0,1,1,0,0,0,0,1,0.25,0.5,0,0,2,0,0,0,1,NGCT,0.93,0,0,MO,1,None,0
NGST,1,1,0,0,0,0,0,0,0,0,0,1060,0,0,-1,-1,-1,0,0,0,0,0,0,11000,0,0,4,0,12.1,ng,500,90,1,6,1,0.64,0.64,0,0.2,0,1,1,0,0,0,0,1,0.25,0.5,0,0,2,0,0,0,1,NGST,0.93,0,0,MO,1,None,0
Coal,1,1,0,0,0,0,0,0,0,0,0,14700,0,0,-1,-1,-1,0,0,0,0,0,0,30000,0,0,5,0,10.4,coal,500,150,10,6,6,0.64,0.64,0,0.4,0,1,1,0,0,0,0,1,0.25,0.5,0,0,2,0,0,0,1,Coal,0.93,0,0,MO,1,None,0
Nuclear,1,1,1,0,0,0,0,0,0,0,0,2360,0,0,-1,-1,-1,0,0,0,0,0,0,100000,0,0,2,0,7.43,uranium,1000,0,0,0,0,0.64,0.64,0,0,0,1,1,0,0,0,0,1,0.25,0.5,0,0,2,0,0,0,1,Nuclear,0.93,0,0,MO,1,None,0
Biomass,1,1,0,0,0,0,0,0,0,0,-1,20,0,0,-1,-1,-1,0,0,0,0,0,0,100000,0,0,5,0,13,biomass,100,90,2,6,2,0.64,0.64,0,0.4,0,1,1,0,0,0,0,1,0.25,0.5,0,0,2,0,0,0,1,Biomass,0.93,0,0,MO,1,None,0
SolarPV,1,0,0,0,0,0,1,1,0,0,1,40,0,0,-1,-1,-1,0,0,0,36000,0,0,10000,0,0,0,0,0,None,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,1,0,0,1,SolarPV,0.8,1,1,MO,1,None,0
Wind,1,0,0,0,0,0,1,1,0,0,1,5720,0,0,-1,-1,-1,0,0,0,60000,0,0,40000,0,0,0.1,0,0,None,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,Wind,0.8,1,1,MO,1,None,0
Hydro,1,0,0,0,0,1,0,0,0,0,-1,480,0,0,-1,-1,-1,0,0,0,0,0,0,18000,0,0,0.1,0,0,None,1600,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,Hydro,0.8,1,1,MO,1,None,0
PHS,1,0,0,1,0,0,0,0,1,0,0,480,0,0,-1,-1,-1,0,0,0,0,0,0,15000,5000,0,0.1,0.1,0,None,1,0,0,0,0,1,1,0,0,0,0.9,0.9,1,10,0,0,1,0,0,0,0,12,0,0,1,0,PHS,0.95,0,0,MO,0,None,0
