Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,0.0,0.0,0.0
coal_super_1,1,11412.418562148812,1341.6193181818246,0.0009710560137581825
coal_super_2,1,2776.144871900831,292.6347107438012,0.0010829594146629631
coal_super_3,1,18410.367739504098,2086.0170454545414,0.0010074894438139555
coal_super_4,1,3894.068826446256,423.728925619832,0.0010490867579908676
coal_super_5,1,0.0,0.0,0.0
20A_retrofit_1,1,2.7765579597120322e7,4658.380681818176,0.6804052584991702
20A_retrofit_2,1,4.430705670960616e7,5707.365289256199,0.8862028150798912
20A_retrofit_3,1,1.3016825152749259e7,3260.2540289256262,0.4557739768724221
20A_retrofit_4,1,0.0,0.0,0.0
20A_retrofit_5,1,3.178856954052428e7,6000.0,0.604805356554876
solar_pv,1,0.0,0.0,0.0
onshore_wind,1,0.0,0.0,0.0
battery,1,0.0,0.0,0.0
