Time_Index,CT_NG,ME_NG,MA_NG,None,coal,blue_ammonia
0,0.05306,0.05306,0.05306,0,0.09566,0.01
1,5.45,5.45,5.28,0,1.8729355,1.8729355
2,5.45,5.45,5.28,0,1.8729355,1.8729355
3,5.45,5.45,5.28,0,1.8729355,1.8729355
4,5.45,5.45,5.28,0,1.8729355,1.8729355
5,5.45,5.45,5.28,0,1.8729355,1.8729355
6,5.45,5.45,5.28,0,1.8729355,1.8729355
7,5.45,5.45,5.28,0,1.8729355,1.8729355
8,5.45,5.45,5.28,0,1.8729355,1.8729355
9,5.45,5.45,5.28,0,1.8729355,1.8729355
10,5.45,5.45,5.28,0,1.8729355,1.8729355
11,5.45,5.45,5.28,0,1.8729355,1.8729355
12,5.45,5.45,5.28,0,1.8729355,1.8729355
13,5.45,5.45,5.28,0,1.8729355,1.8729355
14,5.45,5.45,5.28,0,1.8729355,1.8729355
15,5.45,5.45,5.28,0,1.8729355,1.8729355
16,5.45,5.45,5.28,0,1.8729355,1.8729355
17,5.45,5.45,5.28,0,1.8729355,1.8729355
18,5.45,5.45,5.28,0,1.8729355,1.8729355
19,5.45,5.45,5.28,0,1.8729355,1.8729355
20,5.45,5.45,5.28,0,1.8729355,1.8729355
21,5.45,5.45,5.28,0,1.8729355,1.8729355
22,5.45,5.45,5.28,0,1.8729355,1.8729355
23,5.45,5.45,5.28,0,1.8729355,1.8729355
24,5.45,5.45,5.28,0,1.8729355,1.8729355
25,5.45,5.45,5.28,0,1.8729355,1.8729355
26,5.45,5.45,5.28,0,1.8729355,1.8729355
27,5.45,5.45,5.28,0,1.8729355,1.8729355
28,5.45,5.45,5.28,0,1.8729355,1.8729355
29,5.45,5.45,5.28,0,1.8729355,1.8729355
30,5.45,5.45,5.28,0,1.8729355,1.8729355
31,5.45,5.45,5.28,0,1.8729355,1.8729355
32,5.45,5.45,5.28,0,1.8729355,1.8729355
33,5.45,5.45,5.28,0,1.8729355,1.8729355
34,5.45,5.45,5.28,0,1.8729355,1.8729355
35,5.45,5.45,5.28,0,1.8729355,1.8729355
36,5.45,5.45,5.28,0,1.8729355,1.8729355
37,5.45,5.45,5.28,0,1.8729355,1.8729355
38,5.45,5.45,5.28,0,1.8729355,1.8729355
39,5.45,5.45,5.28,0,1.8729355,1.8729355
40,5.45,5.45,5.28,0,1.8729355,1.8729355
41,5.45,5.45,5.28,0,1.8729355,1.8729355
42,5.45,5.45,5.28,0,1.8729355,1.8729355
43,5.45,5.45,5.28,0,1.8729355,1.8729355
44,5.45,5.45,5.28,0,1.8729355,1.8729355
45,5.45,5.45,5.28,0,1.8729355,1.8729355
46,5.45,5.45,5.28,0,1.8729355,1.8729355
47,5.45,5.45,5.28,0,1.8729355,1.8729355
48,5.45,5.45,5.28,0,1.8729355,1.8729355
49,5.45,5.45,5.28,0,1.8729355,1.8729355
50,5.45,5.45,5.28,0,1.8729355,1.8729355
51,5.45,5.45,5.28,0,1.8729355,1.8729355
52,5.45,5.45,5.28,0,1.8729355,1.8729355
53,5.45,5.45,5.28,0,1.8729355,1.8729355
54,5.45,5.45,5.28,0,1.8729355,1.8729355
55,5.45,5.45,5.28,0,1.8729355,1.8729355
56,5.45,5.45,5.28,0,1.8729355,1.8729355
57,5.45,5.45,5.28,0,1.8729355,1.8729355
58,5.45,5.45,5.28,0,1.8729355,1.8729355
59,5.45,5.45,5.28,0,1.8729355,1.8729355
60,5.45,5.45,5.28,0,1.8729355,1.8729355
61,5.45,5.45,5.28,0,1.8729355,1.8729355
62,5.45,5.45,5.28,0,1.8729355,1.8729355
63,5.45,5.45,5.28,0,1.8729355,1.8729355
64,5.45,5.45,5.28,0,1.8729355,1.8729355
65,5.45,5.45,5.28,0,1.8729355,1.8729355
66,5.45,5.45,5.28,0,1.8729355,1.8729355
67,5.45,5.45,5.28,0,1.8729355,1.8729355
68,5.45,5.45,5.28,0,1.8729355,1.8729355
69,5.45,5.45,5.28,0,1.8729355,1.8729355
70,5.45,5.45,5.28,0,1.8729355,1.8729355
71,5.45,5.45,5.28,0,1.8729355,1.8729355
