Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
NGCC,1,3400.0,26110.85043182402,25405.446715972135,25520.38538092559
NGCT,1,8200.0,5692.328618852185,6555.279048931925,8009.300443846212
NGST,1,1060.0,1060.0,860.0,459.99999999999994
Coal,1,14700.0,-1.8189894035458565e-12,-3.637978807091713e-12,-3.637978807091713e-12
Nuclear,1,2360.0,2360.0,2000.0,1600.0
Biomass,1,20.0,20.0,20.0,20.0
SolarPV,1,40.0,54713.203404366475,51046.88744622929,51046.88744622929
Wind,1,5720.0,27663.14307080531,29239.093857308893,31246.49319884674
Hydro,1,480.0,480.0,480.0,480.0
PHS,1,480.0,0.0,0.0,0.0
Li-ion,1,0.0,5764.365381437325,3888.4023889947516,3888.4023889947516
Retro_NGCC_CCS,1,0.0,2890.0,4352.692551639575,3846.041914335701
Retro_NGCC_H2,1,0.0,0.0,0.0,0.0
Retro_Coal_TES,1,0.0,0.0,0.0,0.0
Retro_Coal_SMR,1,0.0,5292.0,5292.000000000002,5292.000000000002
Total,n/a,36460.0,132045.89090728533,129139.80200907656,131409.5107731783
