,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1,Angle_Limit_Rad,Line_Voltage_kV,Line_Resistance_Ohms,Line_Reactance_Ohms,Discrete_Build,New_Line_Cap_Size_MW,BigM
BUS1,z1,1,1,4,100,BUS1_to_BUS4,0.5,0.015,300,1000,0.95,0,0.785398,345,0,68.5584,0,0,0
BUS2,z2,2,4,5,100,BUS4_to_BUS5,0.5,0.015,300,1000,0.95,0,0.785398,345,20.23425,109.503,1,100,1500
BUS3,z3,3,5,6,100,BUS5_to_BUS6,0.5,0.015,300,1000,0.95,0,0.785398,345,46.41975,202.3425,0,0,0
BUS4,z4,4,3,6,0,BUS3_to_BUS6,0.5,0.015,300,1000,0.95,0,0.785398,345,0,69.74865,1,100,0
BUS5,z5,5,6,7,0,BUS6_to_BUS7,0.5,0.015,200,1000,0.95,0,0.785398,345,14.163975,119.9772,0,0,0
BUS6,z6,6,7,8,100,BUS7_to_BUS8,0.5,0.015,300,1000,0.95,0,0.785398,345,10.117125,85.698,0,0,0
BUS7,z7,7,8,2,100,BUS8_to_BUS2,0.5,0.015,300,1000,0.95,0,0.785398,345,0,74.390625,1,100,1000
BUS8,z8,8,8,9,100,BUS8_to_BUS9,0.5,0.015,300,1000,0.95,0,0.785398,345,38.088,191.63025,1,100,1000
BUS9,z9,9,9,4,0,BUS9_to_BUS4,0.5,0.015,300,1000,0.95,0,0.785398,345,11.9025,101.17125,0,0,0
,,10,1,6,100,BUS1_to_BUS6,0.5,0.015,300,1000,0.95,0,0.785398,345,11.9025,101.17125,0,0,0
