V1,V2,V3,Iter
88,63,11,1
40,92,28,1
20,59,65,1
22,9,60,1
39,76,34,1
31,72,34,1
21,12,32,1
37,14,1,1
41,40,87,1
7,11,32,1
86,64,44,1
67,23,59,1
62,7,3,1
82,21,92,1
68,82,80,1
22,43,89,1
28,68,18,1
63,60,78,1
29,42,100,1
75,94,13,1
83,97,25,1
80,82,9,1
12,3,79,2
17,65,16,2
64,5,58,2
55,80,16,2
43,88,44,2
79,90,76,2
86,68,56,2
75,65,32,2
16,96,46,2
69,2,90,2
59,43,61,2
33,24,65,2
17,30,100,2
38,22,47,2
71,77,12,2
48,100,14,2
40,11,3,2
12,49,52,2
9,74,78,2
48,72,63,2
51,6,48,2
24,92,20,2
76,17,37,3
33,8,47,3
78,5,69,3
40,73,48,3
19,54,67,3
43,75,54,3
64,76,67,3
42,6,85,3
21,70,86,3
99,89,81,3
38,86,40,3
77,48,13,3
6,40,42,3
88,66,32,3
21,46,51,3
38,9,66,3
44,88,53,3
22,20,2,3
67,18,89,3
12,58,53,3
68,17,90,3
