Time_Index,NG,None
0,0.05306,0
1,5.28,0
2,5.28,0
3,5.28,0
4,5.28,0
5,5.28,0
6,5.28,0
7,5.28,0
8,5.28,0
9,5.28,0
10,5.28,0
11,5.28,0
12,5.28,0
13,5.28,0
14,5.28,0
15,5.28,0
16,5.28,0
17,5.28,0
18,5.28,0
19,5.28,0
20,5.28,0
21,5.28,0
22,5.28,0
23,5.28,0
24,5.28,0
25,5.28,0
26,5.28,0
27,5.28,0
28,5.28,0
29,5.28,0
30,5.28,0
31,5.28,0
32,5.28,0
33,5.28,0
34,5.28,0
35,5.28,0
36,5.28,0
37,5.28,0
38,5.28,0
39,5.28,0
40,5.28,0
41,5.28,0
42,5.28,0
43,5.28,0
44,5.28,0
45,5.28,0
46,5.28,0
47,5.28,0
48,5.28,0
49,5.28,0
50,5.28,0
51,5.28,0
52,5.28,0
53,5.28,0
54,5.28,0
55,5.28,0
56,5.28,0
57,5.28,0
58,5.28,0
59,5.28,0
60,5.28,0
61,5.28,0
62,5.28,0
63,5.28,0
64,5.28,0
65,5.28,0
66,5.28,0
67,5.28,0
68,5.28,0
69,5.28,0
70,5.28,0
71,5.28,0
72,5.28,0
73,5.28,0
74,5.28,0
75,5.28,0
76,5.28,0
77,5.28,0
78,5.28,0
79,5.28,0
80,5.28,0
81,5.28,0
82,5.28,0
83,5.28,0
84,5.28,0
85,5.28,0
86,5.28,0
87,5.28,0
88,5.28,0
89,5.28,0
90,5.28,0
91,5.28,0
92,5.28,0
93,5.28,0
94,5.28,0
95,5.28,0
96,5.28,0
97,5.28,0
98,5.28,0
99,5.28,0
100,5.28,0
101,5.28,0
102,5.28,0
103,5.28,0
104,5.28,0
105,5.28,0
106,5.28,0
107,5.28,0
108,5.28,0
109,5.28,0
110,5.28,0
111,5.28,0
112,5.28,0
113,5.28,0
114,5.28,0
115,5.28,0
116,5.28,0
117,5.28,0
118,5.28,0
119,5.28,0
120,5.28,0
121,5.28,0
122,5.28,0
123,5.28,0
124,5.28,0
125,5.28,0
126,5.28,0
127,5.28,0
128,5.28,0
129,5.28,0
130,5.28,0
131,5.28,0
132,5.28,0
133,5.28,0
134,5.28,0
135,5.28,0
136,5.28,0
137,5.28,0
138,5.28,0
139,5.28,0
140,5.28,0
141,5.28,0
142,5.28,0
143,5.28,0
144,5.28,0
145,5.28,0
146,5.28,0
147,5.28,0
148,5.28,0
149,5.28,0
150,5.28,0
151,5.28,0
152,5.28,0
153,5.28,0
154,5.28,0
155,5.28,0
156,5.28,0
157,5.28,0
158,5.28,0
159,5.28,0
160,5.28,0
161,5.28,0
162,5.28,0
163,5.28,0
164,5.28,0
165,5.28,0
166,5.28,0
167,5.28,0
168,5.28,0
169,5.28,0
170,5.28,0
171,5.28,0
172,5.28,0
173,5.28,0
174,5.28,0
175,5.28,0
176,5.28,0
177,5.28,0
178,5.28,0
179,5.28,0
180,5.28,0
181,5.28,0
182,5.28,0
183,5.28,0
184,5.28,0
185,5.28,0
186,5.28,0
187,5.28,0
188,5.28,0
189,5.28,0
190,5.28,0
191,5.28,0
192,5.28,0
193,5.28,0
194,5.28,0
195,5.28,0
196,5.28,0
197,5.28,0
198,5.28,0
199,5.28,0
200,5.28,0
201,5.28,0
202,5.28,0
203,5.28,0
204,5.28,0
205,5.28,0
206,5.28,0
207,5.28,0
208,5.28,0
209,5.28,0
210,5.28,0
211,5.28,0
212,5.28,0
213,5.28,0
214,5.28,0
215,5.28,0
216,5.28,0
217,5.28,0
218,5.28,0
219,5.28,0
220,5.28,0
221,5.28,0
222,5.28,0
223,5.28,0
224,5.28,0
225,5.28,0
226,5.28,0
227,5.28,0
228,5.28,0
229,5.28,0
230,5.28,0
231,5.28,0
232,5.28,0
233,5.28,0
234,5.28,0
235,5.28,0
236,5.28,0
237,5.28,0
238,5.28,0
239,5.28,0
240,5.28,0
241,5.28,0
242,5.28,0
243,5.28,0
244,5.28,0
245,5.28,0
246,5.28,0
247,5.28,0
248,5.28,0
249,5.28,0
