Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
2000,1,1,1,2000,1,24,8760,1,433055,56250,158195
,2,0.9,0.04,1800,,,,2,406808,53975,151211
,3,0.55,0.024,1100,,,,3,394480,51413,144460
,4,0.2,0.003,400,,,,4,389845,50217,137745
,,,,,,,,5,387098,49407,131059
,,,,,,,,6,392355,48847,129242
,,,,,,,,7,404654,49928,127643
,,,,,,,,8,416313,52099,127594
,,,,,,,,9,428156,53971,131035
,,,,,,,,10,443175,56180,136863
,,,,,,,,11,461485,59324,140327
,,,,,,,,12,478750,61430,146574
,,,,,,,,13,500639,63720,153859
,,,,,,,,14,510242,66292,160582
,,,,,,,,15,512939,66236,167097
,,,,,,,,16,520359,66270,172644
,,,,,,,,17,542617,66603,173528
,,,,,,,,18,567183,68052,174662
,,,,,,,,19,589765,70029,179348
,,,,,,,,20,597606,78675,189488
,,,,,,,,21,578601,79796,200159
,,,,,,,,22,551207,77624,206282
,,,,,,,,23,519544,74795,201139
,,,,,,,,24,480627,70153,190159
