Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,0.0,0.0,0.0
coal_super_1,1,2211.2549711427127,713.3027927134102,0.0003538838893488285
coal_super_2,1,0.0,1.1275702593849246e-14,0.0
coal_super_3,1,0.0,0.0,0.0
coal_super_4,1,0.0,0.0,0.0
coal_super_5,1,0.0,0.0,0.0
20A_retrofit_1,1,1.793977397435955e7,5286.69720728659,0.38737217645888244
20A_retrofit_2,1,4.069024450404906e7,5993.485586456341,0.7750089682149826
20A_retrofit_3,1,1.4209206542759081e7,5346.271074380167,0.30339941967849265
20A_retrofit_4,1,8176.048880163747,423.728925619832,0.0022026792527685257
20A_retrofit_5,1,4.4032960390675895e7,6000.0,0.8377656086506069
solar_pv,1,0.0,0.0,0.0
onshore_wind,1,31951.28430511806,9.323466714277277,0.3912071545834474
battery,1,0.0,0.0,0.0
