Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,0.0,0.0,0.0
coal_super_1,1,7593.089925800783,1070.3124156575122,0.0008098486710421791
coal_super_2,1,0.0,0.0,0.0
coal_super_3,1,0.0,0.0,0.0
coal_super_4,1,28899.910074199197,3073.6875843424855,0.0010733285026409806
coal_super_5,1,0.0,0.0,0.0
20A_retrofit_1,1,2.5990746073230006e7,4929.687584342488,0.6018596705335885
20A_retrofit_2,1,1.8871445349670142e7,2696.312415657514,0.7989706870708987
20A_retrofit_3,1,4.240661378373023e7,6000.0,0.8068229410907578
20A_retrofit_4,1,0.0,0.0,0.0
20A_retrofit_5,1,2.960922579336962e7,6000.0,0.5633414344248406
solar_pv,1,0.0,0.0,0.0
onshore_wind,1,0.0,0.0,0.0
battery,1,0.0,0.0,0.0
