Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,0.0,0.0,0.0
coal_super_1,1,10452.007334710794,1341.6193181818246,0.0008893368678115264
coal_super_2,1,2882.4519008264383,292.6347107438012,0.001124429223744291
coal_super_3,1,19917.014483471037,2086.0170454545414,0.001089939219482817
coal_super_4,1,3241.5262809917135,423.728925619832,0.0008732876712328764
coal_super_5,1,0.0,0.0,0.0
20A_retrofit_1,1,2.3779203258994114e7,4658.380681818176,0.5827177093043014
20A_retrofit_2,1,4.166249385730702e7,5707.365289256199,0.8333078764762377
20A_retrofit_3,1,2.010323718042031e7,3260.2540289256262,0.7038991651350944
20A_retrofit_4,1,0.0,0.0,0.0
20A_retrofit_5,1,3.133309670327856e7,6000.0,0.5961395872008858
solar_pv,1,0.0,0.0,0.0
onshore_wind,1,0.0,0.0,0.0
battery,1,0.0,0.0,0.0
