Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_1,1,1_NE,6000.0,0.0,4658.380681818176,0.0,1341.6193181818246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_2,1,2_NE,6000.0,0.0,5707.365289256199,0.0,292.6347107438012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_3,1,3_NE,6000.0,653.7289256198322,3260.2540289256262,0.0,2086.0170454545414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_4,1,4_NE,6000.0,5576.271074380168,0.0,0.0,423.728925619832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_5,1,5_NE,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_1,1,1_NE,0.0,0.0,0.0,4658.380681818176,4658.380681818176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_2,1,2_NE,0.0,0.0,0.0,5707.365289256199,5707.365289256199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_3,1,3_NE,0.0,0.0,0.0,3260.2540289256262,3260.2540289256262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_4,1,4_NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_5,1,5_NE,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,None,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,None,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,n/a,31500.0,7730.0,19626.0,19626.0,23770.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
