Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,0.0
AnnualSum,2950079.5068655466,1433.735304221618,0.0,52915493.66980202,62282446.007428646,0.0,0.0,29845.25753943206,0.0,770691.3829724892,118949989.55991235
t1,-0.0,-0.0,-0.0,6040.581469155521,6444.295697603893,-0.0,-0.0,0.0,0.0,0.0,12484.877166759414
t2,-0.0,-0.0,-0.0,6040.581469155521,6032.969391926833,-0.0,-0.0,0.0,0.0,0.0,12073.550861082353
t3,-0.0,-0.0,-0.0,6040.581469155521,5833.336173982074,-0.0,-0.0,0.0,0.0,0.0,11873.917643137594
t4,-0.0,-0.0,-0.0,6040.581469155521,5747.632531647052,-0.0,-0.0,0.0,0.0,0.0,11788.214000802573
t5,-0.0,-0.0,-0.0,6040.581469155521,5826.287551377327,-0.0,-0.0,0.0,0.0,0.0,11866.869020532848
t6,-0.0,-0.0,-0.0,6040.581469155521,6725.46013410211,-0.0,-0.0,0.0,0.0,0.0,12766.04160325763
t7,-0.0,-0.0,-0.0,6040.581469155521,6728.591713524625,-0.0,-0.0,0.0,0.0,0.0,12769.173182680146
t8,-0.0,-0.0,-0.0,6040.581469155521,7358.699752688076,-0.0,-0.0,0.0,0.0,0.0,13399.281221843597
t9,-0.0,-0.0,-0.0,6040.581469155521,8193.452256979086,-0.0,-0.0,0.0,0.0,0.0,14234.033726134607
t10,-0.0,-0.0,-0.0,6040.581469155521,8708.617748462351,-0.0,-0.0,0.0,0.0,0.0,14749.199217617872
t11,-0.0,-0.0,-0.0,6040.581469155521,8919.916221474792,-0.0,-0.0,0.0,0.0,0.0,14960.497690630313
t12,-0.0,-0.0,-0.0,6040.581469155521,8908.210943257773,-0.0,-0.0,0.0,0.0,0.0,14948.792412413293
t13,-0.0,-0.0,-0.0,6040.581469155521,8900.982131279678,-0.0,-0.0,0.0,0.0,0.0,14941.563600435198
t14,-0.0,-0.0,-0.0,6040.581469155521,8705.57169111676,-0.0,-0.0,0.0,0.0,0.0,14746.15316027228
t15,-0.0,-0.0,-0.0,6040.581469155521,8870.089668329756,-0.0,-0.0,0.0,0.0,0.0,14910.671137485277
t16,-0.0,-0.0,-0.0,6040.581469155521,8875.072323644259,-0.0,-0.0,0.0,0.0,0.0,14915.65379279978
t17,-0.0,-0.0,-0.0,6040.581469155521,9011.597079261659,-0.0,-0.0,0.0,0.0,354.92340444664563,15407.101952863824
t18,-0.0,-0.0,-0.0,6040.581469155521,9216.88247821921,-0.0,-0.0,0.0,0.0,1153.9976869326356,16411.461634307365
t19,-0.0,-0.0,-0.0,6040.581469155521,9217.879009282111,-0.0,-0.0,0.0,0.0,1158.9018375333062,16417.36231597094
t20,-0.0,-0.0,-0.0,6040.581469155521,9158.087145508067,-0.0,-0.0,0.0,0.0,924.8672045578109,16123.535819221399
t21,-0.0,-0.0,-0.0,6040.581469155521,9040.49648008578,-0.0,-0.0,0.0,0.0,462.6402786902348,15543.718227931535
t22,-0.0,-0.0,-0.0,6040.581469155521,8846.172922820138,-0.0,-0.0,0.0,0.0,0.0,14886.754391975659
t23,-0.0,-0.0,-0.0,6040.581469155521,8161.029195949542,-0.0,-0.0,0.0,0.0,0.0,14201.610665105061
t24,-0.0,-0.0,-0.0,6040.581469155521,6616.713869895874,-0.0,-0.0,0.0,0.0,0.0,12657.295339051394
t25,-0.0,-0.0,-0.0,6040.581469155521,6438.783069756509,-0.0,-0.0,0.0,0.0,0.0,12479.364538912028
t26,-0.0,-0.0,-0.0,6040.581469155521,6070.601856284405,-0.0,-0.0,0.0,0.0,0.0,12111.183325439924
t27,-0.0,-0.0,-0.0,6040.581469155521,5922.714441052785,-0.0,-0.0,0.0,0.0,0.0,11963.295910208306
t28,-0.0,-0.0,-0.0,6040.581469155521,4971.369988907113,-0.0,-0.0,0.0,0.0,0.0,11011.951458062635
t29,-0.0,-0.0,-0.0,6040.581469155521,5314.135954804245,-0.0,-0.0,0.0,0.0,0.0,11354.717423959766
t30,-0.0,-0.0,-0.0,6040.581469155521,7185.232315937139,-0.0,-0.0,0.0,0.0,0.0,13225.81378509266
t31,-0.0,-0.0,-0.0,6040.581469155521,8268.052537440124,-0.0,-0.0,0.0,0.0,0.0,14308.634006595645
t32,245.098189484639,-0.0,-0.0,6040.581469155521,9004.621361821353,-0.0,-0.0,-0.0,0.0,83.23603154750124,15373.537052009015
t33,382.9659210697484,-0.0,-0.0,6040.581469155521,9051.458321777687,-0.0,-0.0,0.0,0.0,128.25683205972393,15603.26254406268
t34,382.9659210697484,-0.0,-0.0,6040.581469155521,9076.371598350206,-0.0,-0.0,0.0,0.0,229.11564830553655,15729.034636881011
t35,382.9659210697484,-0.0,-0.0,6040.581469155521,9101.284874922727,-0.0,-0.0,0.0,0.0,325.0896960585856,15849.92196120658
t36,382.9659210697484,-0.0,-0.0,6040.581469155521,9095.30568854532,-0.0,-0.0,0.0,0.0,307.46576526882353,15826.318844039413
t37,382.9659210697484,-0.0,-0.0,6040.581469155521,9065.409756658299,-0.0,-0.0,0.0,0.0,187.98668242678863,15676.943829310356
t38,382.9659210697484,-0.0,-0.0,6040.581469155521,9044.482604337383,-0.0,-0.0,-0.0,0.0,104.75179697073634,15572.781791533389
t39,382.9659210697484,-0.0,-0.0,6040.581469155521,9010.60054819876,-0.0,-0.0,0.0,0.0,0.0,15434.147938424028
t40,382.9659210697484,-0.0,-0.0,6040.581469155521,9011.597079261659,-0.0,-0.0,0.0,0.0,0.0,15435.144469486928
t41,382.9659210697484,-0.0,-0.0,6040.581469155521,9152.107959130662,-0.0,-0.0,0.0,0.0,526.8073285502142,16102.462677906145
t42,382.9659210697484,-0.0,-0.0,6040.581469155521,9356.396827025312,-0.0,-0.0,291.3658173592223,0.0,1041.202244924101,17112.512279533905
t43,382.9659210697484,-0.0,-0.0,6040.581469155521,9328.493957264092,-0.0,-0.0,0.0,0.0,1215.2532578048595,16967.29460529422
t44,382.9659210697484,-0.0,-0.0,6040.581469155521,9220.868602470811,-0.0,-0.0,0.0,0.0,795.1516336224896,16439.56762631857
t45,245.098189484639,-0.0,-0.0,6040.581469155521,9065.409756658299,-0.0,-0.0,-0.0,0.0,324.14810462867695,15675.237519927136
t46,-0.0,-0.0,-0.0,6040.581469155521,8838.200674316931,-0.0,-0.0,0.0,0.0,0.0,14878.782143472452
t47,-0.0,-0.0,-0.0,6040.581469155521,8139.624193727212,-0.0,-0.0,0.0,0.0,0.0,14180.205662882732
t48,-0.0,-0.0,-0.0,6040.581469155521,6644.007393446076,-0.0,-0.0,0.0,0.0,0.0,12684.588862601597
t49,-0.0,-0.0,-0.0,6040.581469155521,5896.561616202549,-0.0,-0.0,0.0,0.0,0.0,11937.14308535807
t50,-0.0,-0.0,-0.0,6040.581469155521,4407.777053387714,-0.0,-0.0,0.0,0.0,0.0,10448.358522543234
t51,-0.0,-0.0,-0.0,6040.581469155521,5191.371122005302,-0.0,-0.0,0.0,0.0,0.0,11231.952591160822
t52,-0.0,-0.0,-0.0,6040.581469155521,4344.821392430512,-0.0,-0.0,0.0,0.0,0.0,10385.402861586033
t53,-0.0,-0.0,-0.0,6040.581469155521,4376.552946630673,-0.0,-0.0,0.0,0.0,0.0,10417.134415786193
t54,-0.0,-0.0,-0.0,6040.581469155521,6267.768875445577,-0.0,-0.0,0.0,0.0,0.0,12308.350344601098
t55,-0.0,-0.0,-0.0,6040.581469155521,7268.9656728053005,-0.0,-0.0,0.0,0.0,0.0,13309.547141960822
t56,-0.0,-0.0,-0.0,6040.581469155521,8331.561606887923,-0.0,-0.0,0.0,0.0,0.0,14372.143076043443
