Time_Index,NENG_CT_NG,NENG_ME_NG,NENGREST_NG,west_north_central_coal,new_england_uranium,NENG_CT_NG_ccs90,NENG_ME_NG_ccs90,NENGREST_NG_ccs90,NENG_CT_NG_ccs100,NENG_ME_NG_ccs100,NENGREST_NG_ccs100,None
0,0.05306,0.05306,0.05306,0.09552,0.0,0.00531,0.00531,0.00531,0.0,0.0,0.0,0.0
1,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
2,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
3,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
4,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
5,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
6,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
7,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
8,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
9,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
10,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
11,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
12,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
13,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
14,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
15,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
16,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
17,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
18,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
19,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
20,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
21,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
22,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
23,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
24,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
25,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
26,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
27,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
28,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
29,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
30,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
31,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
32,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
33,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
34,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
35,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
36,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
37,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
38,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
39,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
40,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
41,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
42,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
43,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
44,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
45,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
46,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
47,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
48,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
49,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
50,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
51,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
52,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
53,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
54,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
55,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
56,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
57,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
58,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
59,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
60,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
61,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
62,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
63,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
64,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
65,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
66,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
67,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
68,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
69,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
70,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
71,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
72,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
73,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
74,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
75,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
76,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
77,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
78,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
79,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
80,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
81,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
82,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
83,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
84,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
85,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
86,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
87,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
88,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
89,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
90,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
91,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
92,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
93,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
94,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
95,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
96,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
97,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
98,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
99,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
100,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
101,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
102,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
103,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
104,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
105,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
106,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
107,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
108,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
109,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
110,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
111,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
112,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
113,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
114,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
115,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
116,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
117,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
118,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
119,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
120,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
121,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
122,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
123,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
124,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
125,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
126,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
127,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
128,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
129,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
130,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
131,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
132,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
133,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
134,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
135,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
136,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
137,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
138,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
139,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
140,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
141,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
142,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
143,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
144,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
145,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
146,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
147,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
148,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
149,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
150,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
151,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
152,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
153,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
154,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
155,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
156,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
157,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
158,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
159,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
160,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
161,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
162,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
163,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
164,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
165,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
166,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
167,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
168,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0.0
169,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
170,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
171,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
172,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
173,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
174,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
175,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
176,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
177,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
178,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
179,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
180,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
181,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
182,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
183,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
184,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
185,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
186,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
187,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
188,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
189,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
190,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
191,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
192,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
193,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
194,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
195,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
196,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
197,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
198,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
199,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
200,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
201,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
202,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
203,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
204,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
205,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
206,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
207,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
208,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
209,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
210,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
211,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
212,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
213,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
214,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
215,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
216,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
217,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
218,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
219,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
220,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
221,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
222,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
223,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
224,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
225,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
226,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
227,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
228,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
229,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
230,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
231,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
232,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
233,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
234,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
235,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
236,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
237,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
238,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
239,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
240,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
241,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
242,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
243,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
244,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
245,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
246,4.09,4.09,3.98,1.67,0.69,4.09,4.09,3.98,2.66,2.66,2.55,0.0
