State	Longitude	Latitude
Alabama	-86.902298	32.318231
Arkansas	-91.831833	35.20105
Arizona	-111.093731	34.048928
California	-119.417932	36.778261
Colorado	-105.782067	39.550051
Connecticut	-73.087749	41.603221
District of Columbia	-77.033418	38.905985
Delaware	-75.52767	38.910832
Florida	-81.515754	27.664827
Georgia	-82.907123	32.157435
Iowa	-93.097702	41.78003
Idaho	-114.742041	44.068202
Illinois	-89.398528	40.622125
Indiana	-85.602364	40.551217
Kansas	-98.484246	39.011902
Kentucky	-84.270018	37.839333
Louisiana	-92.145024	31.244823
Massachusetts	-71.382437	42.407211
Maryland	-76.641271	39.045755
Maine	-69.445469	45.2573783
Michigan	-85.602364	44.314844
Minnesota	-94.6859	46.729553
Missouri	-91.831833	37.9642553
Mississippi	-89.398528	32.354668
Montana	-110.362566	46.879682
North Carolina	-79.0193	35.759573
North Dakota	-101.002012	47.551493
Nebraska	-99.901813	41.492537
New Hampshire	-71.572395	43.193852
New Jersey	-74.405661	40.058324
New Mexico	-105.032363	34.97273
Nevada	-116.419389	38.80261
New York	-74.217933	43.299428
Ohio	-82.907123	40.417287
Oklahoma	-97.092877	35.007752
Oregon	-120.554201	43.804133
Pennsylvania	-77.194525	41.203322
Rhode Island	-71.477429	41.580095
South Carolina	-81.163725	33.836081
South Dakota	-99.901813	43.969515
Tennessee	-86.580447	35.517491
Texas	-99.901813	31.968599
Utah	-111.093731	39.32098
Virginia	-78.656894	37.431573
Vermont	-72.577841	44.558803
Washington	-120.740139	47.751074
Wisconsin	-88.787868	43.78444
West Virginia	-80.454903	38.597626
Wyoming	-107.290284	43.075968
